id,target
414,0.8
415,0.8
416,0.8
417,0.4
418,0.5
419,0.7
420,0.3
421,0.5
422,0.2
423,0.2
424,0.6
425,0.2
426,0.7
427,0.8
428,0.3
429,0.4
430,0.8
431,0.5
432,0.2
433,0.3
434,0.2
435,0.3
436,0.6
437,0.5
438,0.7
439,0.4
440,0.7
441,0.2
442,0.5
443,0.6
444,0.7
445,0.6
446,0.5
447,0.5
448,0.5
449,0.7
450,0.7
451,0.6
452,0.2
453,0.8
454,0.4
455,0.5
456,0.8
457,0.6
458,0.6
459,0.7
460,0.8
461,0.8
462,0.4
463,0.3
464,0.7
465,0.6
466,0.3
467,0.2
468,0.5
469,0.2
470,0.7
471,0.2
472,0.5
473,0.7
474,0.7
475,0.2
476,0.6
477,0.2
478,0.2
479,0.5
480,0.2
481,0.8
482,0.3
483,0.4
484,0.2
485,0.6
486,0.5
487,0.4
488,0.6
489,0.2
490,0.6
491,0.6
492,0.4
493,0.3
494,0.2
495,0.2
496,0.2
497,0.3
498,0.8
499,0.2
500,0.2
501,0.2
502,0.3
503,0.8
504,0.3
505,0.5
506,0.2
507,0.2
508,0.6
509,0.8
510,0.2
511,0.4
512,0.6
513,0.8
514,0.2
515,0.4
516,0.6
517,0.6
518,0.5
519,0.4
520,0.2
521,0.8
522,0.7
523,0.5
524,0.2
525,0.5
526,0.4
527,0.3
528,0.2
529,0.3
530,0.5
531,0.7
532,0.2
533,0.8
534,0.3
535,0.5
536,0.2
537,0.2
538,0.2
539,0.8
540,0.8
541,0.5
542,0.7
543,0.2
544,0.6
545,0.2
546,0.2
547,0.2
548,0.4
549,0.8
550,0.5
551,0.5
552,0.2
553,0.2
554,0.2
555,0.3
556,0.2
557,0.6
558,0.6
559,0.7
560,0.2
561,0.7
562,0.7
563,0.4
564,0.7
565,0.7
566,0.2
567,0.2
568,0.7
569,0.5
570,0.7
571,0.4
572,0.4
573,0.7
574,0.7
575,0.2
576,0.3
577,0.3
578,0.5
579,0.5
580,0.5
581,0.2
582,0.7
583,0.4
584,0.6
585,0.2
586,0.6
587,0.8
588,0.2
589,0.2
590,0.5
591,0.3
592,0.6
593,0.5
594,0.7
595,0.8
596,0.2
597,0.2
598,0.6
599,0.5
600,0.2
601,0.2
602,0.4
603,0.5
604,0.2
605,0.7
606,0.7
607,0.4
608,0.7
609,0.3
610,0.4
611,0.3
612,0.7
613,0.7
614,0.2
615,0.3
616,0.2
617,0.4
618,0.4
619,0.4
620,0.8
621,0.8
622,0.4
623,0.3
624,0.2
625,0.7
626,0.8
627,0.5
628,0.5
629,0.4
630,0.2
631,0.6
632,0.2
633,0.2
634,0.8
635,0.7
636,0.6
637,0.4
638,0.2
639,0.2
640,0.2
641,0.2
642,0.6
643,0.3
644,0.2
645,0.7
646,0.6
647,0.8
648,0.6
649,0.5
650,0.6
651,0.5
652,0.5
653,0.7
654,0.4
655,0.2
656,0.8
657,0.2
658,0.2
659,0.2
660,0.7
661,0.7
662,0.6
663,0.6
664,0.7
665,0.2
666,0.3
667,0.2
668,0.2
669,0.8
670,0.8
671,0.4
672,0.8
673,0.3
674,0.3
675,0.4
676,0.2
677,0.7
678,0.2
679,0.2
680,0.5
681,0.7
682,0.2
683,0.3
684,0.6
685,0.8
686,0.2
687,0.6
688,0.2
689,0.7
